Time (Date hh:mm:ss.ms),L-Max dB -A,LEQ dB -A,L-Min dB -A,L-PeakdB -A
2025/03/28 12:57:00,51.223247,46.523247,40.723247,68.323247
2025/03/28 12:58:00,61.023247,52.923247,43.223247,79.023247
2025/03/28 12:59:00,54.223247,48.923247,43.123247,69.523247
2025/03/28 13:00:00,53.823247,49.323247,42.423247,71.323247
2025/03/28 13:01:00,59.223247,50.323247,43.823247,80.523247
2025/03/28 13:02:00,58.823247,49.423247,41.623247,81.323247
2025/03/28 13:03:00,53.823247,49.123247,36.823247,72.023247
2025/03/28 13:04:00,51.423247,47.423247,41.323247,70.523247
2025/03/28 13:05:00,62.823247,49.923247,34.323247,82.823247
2025/03/28 13:06:00,56.723247,48.923247,36.423247,74.523247
2025/03/28 13:07:00,61.523247,49.923247,37.923247,80.823247
2025/03/28 13:08:00,55.923247,48.523247,39.723247,74.723247
2025/03/28 13:09:00,50.623247,46.323247,33.423247,67.723247
2025/03/28 13:10:00,52.823247,47.723247,34.823247,68.323247
2025/03/28 13:11:00,52.723247,46.123247,34.623247,65.923247
2025/03/28 13:12:00,46.623247,35.223247,32.123247,67.923247
2025/03/28 13:13:00,32.523247,32.223247,32.023247,45.723247
2025/03/28 13:14:00,33.523247,32.323247,32.123247,50.523247
2025/03/28 13:15:00,32.523247,32.223247,31.923247,46.023247
2025/03/28 13:16:00,33.023247,32.223247,31.723247,48.923247
2025/03/28 13:17:00,33.223247,32.323247,32.023247,49.723247
2025/03/28 13:18:00,33.323247,32.523247,32.223247,48.023247
2025/03/28 13:19:00,45.623247,34.623247,32.123247,66.723247
2025/03/28 13:20:00,57.223247,46.423247,33.923247,81.223247
2025/03/28 13:21:00,50.523247,37.423247,32.123247,72.623247
2025/03/28 13:22:00,34.423247,32.523247,31.723247,49.623247
2025/03/28 13:23:00,34.423247,32.623247,32.123247,50.923247
2025/03/28 13:24:00,34.023247,32.823247,32.423247,50.523247
2025/03/28 13:25:00,40.823247,38.223247,32.623247,53.623247
2025/03/28 13:26:00,41.523247,40.923247,40.023247,54.923247
2025/03/28 13:27:00,41.923247,41.323247,40.723247,54.223247
2025/03/28 13:28:00,56.323247,46.223247,39.923247,76.123247
2025/03/28 13:29:00,40.923247,40.223247,39.723247,54.923247
2025/03/28 13:30:00,46.123247,41.123247,39.923247,62.923247
2025/03/28 13:31:00,49.523247,41.523247,39.823247,70.623247
2025/03/28 13:32:00,41.023247,40.423247,39.823247,55.923247
2025/03/28 13:33:00,41.023247,40.323247,39.823247,54.223247
2025/03/28 13:34:00,41.323247,40.423247,39.923247,58.923247
2025/03/28 13:35:00,40.823247,40.423247,39.923247,53.823247
2025/03/28 13:36:00,40.923247,40.423247,40.023247,54.423247
2025/03/28 13:37:00,42.623247,40.623247,39.923247,56.023247
2025/03/28 13:38:00,41.023247,40.423247,40.023247,54.023247
2025/03/28 13:39:00,61.023247,49.223247,40.023247,84.123247
2025/03/28 13:40:00,62.123247,52.423247,41.423247,81.223247
2025/03/28 13:41:00,48.823247,40.723247,32.123247,71.023247
2025/03/28 13:42:00,55.123247,45.023247,32.223247,74.123247
2025/03/28 13:43:00,55.323247,45.423247,35.123247,78.523247
2025/03/28 13:44:00,58.623247,46.523247,33.123247,81.323247
2025/03/28 13:45:00,50.123247,36.023247,32.023247,72.023247
2025/03/28 13:46:00,44.223247,33.823247,32.223247,59.423247
2025/03/28 13:47:00,32.923247,32.423247,32.223247,46.423247
2025/03/28 13:48:00,33.623247,32.523247,32.123247,51.923247
2025/03/28 13:49:00,33.623247,32.323247,32.023247,51.423247
2025/03/28 13:50:00,32.723247,32.323247,32.023247,47.223247
2025/03/28 13:51:00,33.723247,32.323247,32.123247,50.023247
2025/03/28 13:52:00,32.623247,32.323247,32.023247,46.223247
2025/03/28 13:53:00,33.823247,32.323247,32.023247,52.823247
2025/03/28 13:54:00,40.923247,32.823247,32.123247,63.523247
2025/03/28 13:55:00,35.423247,32.623247,32.123247,48.523247
2025/03/28 13:56:00,34.623247,32.523247,32.023247,52.323247
2025/03/28 13:57:00,32.623247,32.223247,31.723247,46.923247
2025/03/28 13:58:00,33.923247,32.323247,31.823247,53.623247
2025/03/28 13:59:00,33.723247,32.223247,31.623247,51.323247
2025/03/28 14:00:00,49.623247,36.723247,32.023247,66.223247
2025/03/28 14:01:00,53.823247,40.823247,31.523247,71.023247
2025/03/28 14:02:00,32.523247,32.123247,31.723247,46.523247
2025/03/28 14:03:00,33.923247,32.123247,31.623247,53.823247
2025/03/28 14:04:00,33.423247,31.823247,31.323247,52.023247
2025/03/28 14:05:00,32.423247,32.023247,31.223247,47.223247
2025/03/28 14:06:00,40.923247,38.023247,31.923247,53.923247
2025/03/28 14:07:00,41.223247,40.623247,40.123247,54.323247
2025/03/28 14:08:00,41.423247,40.823247,40.123247,54.623247
2025/03/28 14:09:00,41.423247,40.623247,39.823247,54.523247
2025/03/28 14:10:00,40.723247,40.323247,39.923247,54.823247
2025/03/28 14:11:00,40.923247,40.423247,39.923247,56.523247
2025/03/28 14:12:00,41.423247,40.523247,39.923247,54.523247
2025/03/28 14:13:00,41.923247,41.023247,40.123247,55.023247
2025/03/28 14:14:00,42.223247,40.823247,40.023247,55.023247
2025/03/28 14:15:00,40.723247,40.223247,39.823247,54.023247
2025/03/28 14:16:00,41.223247,40.323247,39.723247,55.923247
2025/03/28 14:17:00,40.823247,40.223247,39.723247,53.523247
2025/03/28 14:18:00,40.823247,40.323247,39.823247,55.923247
2025/03/28 14:19:00,40.723247,40.323247,39.723247,54.023247
2025/03/28 14:20:00,40.523247,39.323247,31.723247,53.523247
2025/03/28 14:21:00,33.723247,31.823247,31.523247,53.123247
