Location,Latitude,Longitude
YEG-117,53.45273604,-113.5353106
YEG-118,53.45273604,-113.5201948
YEG-119,53.45273604,-113.505079
YEG-120,53.45273604,-113.4899632
YEG-121,53.45273604,-113.4748474
YEG-122,53.45273604,-113.4597316
YEG-123,53.45273604,-113.4446158
YEG-124,53.45273604,-113.4295
YEG-125,53.45273604,-113.4143843
YEG-126,53.45273604,-113.3992685
YEG-127,53.45273604,-113.3841527
YEG-128,53.45273604,-113.3690369
YEG-129,53.45273604,-113.3539211
YEG-130,53.45273604,-113.3388053
YEG-131,53.46174505,-113.7167
YEG-132,53.46174505,-113.7015842
YEG-133,53.46174505,-113.6864684
YEG-134,53.46174505,-113.6713526
YEG-135,53.46174505,-113.6562369
YEG-136,53.46174505,-113.6411211
YEG-137,53.46174505,-113.6260053
YEG-138,53.46174505,-113.6108895
YEG-139,53.46174505,-113.5957737
YEG-140,53.46174505,-113.5806579
YEG-141,53.46174505,-113.5655421
YEG-142,53.46174505,-113.5504263
YEG-143,53.46174505,-113.5353106
YEG-144,53.46174505,-113.5201948
YEG-145,53.46174505,-113.505079
YEG-146,53.46174505,-113.4899632
YEG-147,53.46174505,-113.4748474
YEG-148,53.46174505,-113.4597316
YEG-149,53.46174505,-113.4446158
YEG-150,53.46174505,-113.4295
YEG-151,53.46174505,-113.4143843
YEG-152,53.46174505,-113.3992685
YEG-153,53.46174505,-113.3841527
YEG-154,53.46174505,-113.3690369
YEG-155,53.46174505,-113.3539211
YEG-156,53.46174505,-113.3388053
YEG-157,53.47075405,-113.7167
YEG-158,53.47075405,-113.7015842
YEG-159,53.47075405,-113.6864684
YEG-160,53.47075405,-113.6713526
YEG-161,53.47075405,-113.6562369
YEG-162,53.47075405,-113.6411211
YEG-163,53.47075405,-113.6260053
YEG-164,53.47075405,-113.6108895
YEG-165,53.47075405,-113.5957737
YEG-166,53.47075405,-113.5806579
YEG-167,53.47075405,-113.5655421
YEG-168,53.47075405,-113.5504263
YEG-169,53.47075405,-113.5353106
YEG-170,53.47075405,-113.5201948
YEG-171,53.47075405,-113.505079
YEG-172,53.47075405,-113.4899632
YEG-173,53.47075405,-113.4748474
YEG-174,53.47075405,-113.4597316
YEG-175,53.47075405,-113.4446158
YEG-176,53.47075405,-113.4295
YEG-177,53.47075405,-113.4143843
YEG-178,53.47075405,-113.3992685
YEG-179,53.47075405,-113.3841527
YEG-180,53.47075405,-113.3690369
YEG-181,53.47075405,-113.3539211
YEG-182,53.47075405,-113.3388053
YEG-183,53.47976306,-113.7167
YEG-184,53.47976306,-113.7015842
YEG-185,53.47976306,-113.6864684
YEG-186,53.47976306,-113.6713526
YEG-187,53.47976306,-113.6562369
YEG-188,53.47976306,-113.6411211
YEG-189,53.47976306,-113.6260053
YEG-190,53.47976306,-113.6108895
YEG-191,53.47976306,-113.5957737
YEG-192,53.47976306,-113.5806579
YEG-193,53.47976306,-113.5655421
YEG-194,53.47976306,-113.5504263
YEG-195,53.47976306,-113.5353106
YEG-196,53.47976306,-113.5201948
YEG-197,53.47976306,-113.505079
YEG-198,53.47976306,-113.4899632
YEG-199,53.47976306,-113.4748474
YEG-200,53.47976306,-113.4597316
YEG-201,53.47976306,-113.4446158
YEG-202,53.47976306,-113.4295
YEG-203,53.47976306,-113.4143843
YEG-204,53.47976306,-113.3992685
YEG-205,53.47976306,-113.3841527
YEG-206,53.47976306,-113.3690369
YEG-207,53.47976306,-113.3539211
YEG-208,53.47976306,-113.3388053
YEG-209,53.48877207,-113.7167
YEG-210,53.48877207,-113.7015842
YEG-211,53.48877207,-113.6864684
YEG-212,53.48877207,-113.6713526
YEG-213,53.48877207,-113.6562369
YEG-214,53.48877207,-113.6411211
YEG-215,53.48877207,-113.6260053
YEG-216,53.48877207,-113.6108895
YEG-217,53.48877207,-113.5957737
YEG-218,53.48877207,-113.5806579
YEG-219,53.48877207,-113.5655421
YEG-220,53.48877207,-113.5504263
YEG-221,53.48877207,-113.5353106
YEG-222,53.48877207,-113.5201948
YEG-223,53.48877207,-113.505079
YEG-224,53.48877207,-113.4899632
YEG-225,53.48877207,-113.4748474
YEG-226,53.48877207,-113.4597316
YEG-227,53.48877207,-113.4446158
YEG-228,53.48877207,-113.4295
YEG-229,53.48877207,-113.4143843
YEG-230,53.48877207,-113.3992685
YEG-231,53.48877207,-113.3841527
YEG-232,53.48877207,-113.3690369
YEG-233,53.48877207,-113.3539211
YEG-234,53.48877207,-113.3388053
YEG-235,53.49778108,-113.7167
YEG-236,53.49778108,-113.7015842
YEG-237,53.49778108,-113.6864684
YEG-238,53.49778108,-113.6713526
YEG-239,53.49778108,-113.6562369
YEG-240,53.49778108,-113.6411211
YEG-241,53.49778108,-113.6260053
YEG-242,53.49778108,-113.6108895
YEG-243,53.49778108,-113.5957737
YEG-244,53.49778108,-113.5806579
YEG-245,53.49778108,-113.5655421
YEG-246,53.49778108,-113.5504263
YEG-247,53.49778108,-113.5353106
YEG-248,53.49778108,-113.5201948
YEG-249,53.49778108,-113.505079
YEG-250,53.49778108,-113.4899632
YEG-251,53.49778108,-113.4748474
YEG-252,53.49778108,-113.4597316
YEG-253,53.49778108,-113.4446158
YEG-254,53.49778108,-113.4295
YEG-255,53.49778108,-113.4143843
YEG-256,53.49778108,-113.3992685
YEG-257,53.49778108,-113.3841527
YEG-258,53.49778108,-113.3690369
YEG-259,53.49778108,-113.3539211
YEG-260,53.49778108,-113.3388053
YEG-261,53.50679009,-113.7167
YEG-262,53.50679009,-113.7015842
YEG-263,53.50679009,-113.6864684
YEG-264,53.50679009,-113.6713526
YEG-265,53.50679009,-113.6562369
YEG-266,53.50679009,-113.6411211
YEG-267,53.50679009,-113.6260053
YEG-268,53.50679009,-113.6108895
YEG-269,53.50679009,-113.5957737
YEG-270,53.50679009,-113.5806579
YEG-271,53.50679009,-113.5655421
YEG-272,53.50679009,-113.5504263
YEG-273,53.50679009,-113.5353106
YEG-274,53.50679009,-113.5201948
YEG-275,53.50679009,-113.505079
YEG-276,53.50679009,-113.4899632
YEG-277,53.50679009,-113.4748474
YEG-278,53.50679009,-113.4597316
YEG-279,53.50679009,-113.4446158
YEG-280,53.50679009,-113.4295
YEG-281,53.50679009,-113.4143843
YEG-282,53.50679009,-113.3992685
YEG-283,53.50679009,-113.3841527
YEG-284,53.50679009,-113.3690369
YEG-285,53.50679009,-113.3539211
YEG-286,53.50679009,-113.3388053
YEG-287,53.5157991,-113.7167
YEG-288,53.5157991,-113.7015842
YEG-289,53.5157991,-113.6864684
YEG-290,53.5157991,-113.6713526
YEG-291,53.5157991,-113.6562369
YEG-292,53.5157991,-113.6411211
YEG-293,53.5157991,-113.6260053
YEG-294,53.5157991,-113.6108895
YEG-295,53.5157991,-113.5957737
YEG-296,53.5157991,-113.5806579
YEG-297,53.5157991,-113.5655421
YEG-298,53.5157991,-113.5504263
YEG-299,53.5157991,-113.5353106
YEG-300,53.5157991,-113.5201948
YEG-301,53.5157991,-113.505079
YEG-302,53.5157991,-113.4899632
YEG-303,53.5157991,-113.4748474
YEG-304,53.5157991,-113.4597316
YEG-305,53.5157991,-113.4446158
YEG-306,53.5157991,-113.4295
YEG-307,53.5157991,-113.4143843
YEG-308,53.5157991,-113.3992685
YEG-309,53.5157991,-113.3841527
YEG-310,53.5157991,-113.3690369
YEG-311,53.5157991,-113.3539211
YEG-312,53.5157991,-113.3388053
YEG-313,53.52480811,-113.7167
YEG-314,53.52480811,-113.7015842
YEG-315,53.52480811,-113.6864684
YEG-316,53.52480811,-113.6713526
YEG-317,53.52480811,-113.6562369
YEG-318,53.52480811,-113.6411211
YEG-319,53.52480811,-113.6260053
YEG-320,53.52480811,-113.6108895
YEG-321,53.52480811,-113.5957737
YEG-322,53.52480811,-113.5806579
YEG-323,53.52480811,-113.5655421
YEG-324,53.52480811,-113.5504263
YEG-325,53.52480811,-113.5353106
YEG-326,53.52480811,-113.5201948
YEG-327,53.52480811,-113.505079
YEG-328,53.52480811,-113.4899632
YEG-329,53.52480811,-113.4748474
YEG-330,53.52480811,-113.4597316
YEG-331,53.52480811,-113.4446158
YEG-332,53.52480811,-113.4295
YEG-333,53.52480811,-113.4143843
YEG-334,53.52480811,-113.3992685
YEG-335,53.52480811,-113.3841527
YEG-336,53.52480811,-113.3690369
YEG-337,53.52480811,-113.3539211
YEG-338,53.52480811,-113.3388053
YEG-339,53.53381712,-113.7167
YEG-340,53.53381712,-113.7015842
YEG-341,53.53381712,-113.6864684
YEG-342,53.53381712,-113.6713526
YEG-343,53.53381712,-113.6562369
YEG-344,53.53381712,-113.6411211
YEG-345,53.53381712,-113.6260053
YEG-346,53.53381712,-113.6108895
YEG-347,53.53381712,-113.5957737
YEG-348,53.53381712,-113.5806579
YEG-349,53.53381712,-113.5655421
YEG-350,53.53381712,-113.5504263
YEG-351,53.53381712,-113.5353106
YEG-352,53.53381712,-113.5201948
YEG-353,53.53381712,-113.505079
